Sample,type,source,Year,BAPS-1,BAPS-3,meanDBS
1,DT12,human,2009,1,1,-0.007
2,DT24,human,2009,1,1,0.017
3,DT41,human,2009,1,5,0.034
4,DT120,human,2009,2,17,-0.007
5,DT135,human,2009,1,1,0.001
6,DT177,human,2008,2,18,-0.009
7,DT191A,human,2009,1,1,-0.003
8,DT193,human,2009,2,17,-0.008
9,DT195,human,2009,2,14,-0.002
10,DT2B,human,2009,1,1,0.02
11,DT56,human,2009,1,7,0.036
12,U302,human,2009,2,15,0.007
13,U310,human,2009,2,14,-0.006
14,DT7,human,2009,2,17,-0.006
15,DT8,human,2009,1,2,0.007
16,DT97,human,2008,2,17,-0.01
17,DT99,human,2009,1,7,0.035
18,DT1,human,2009,2,16,-0.003
19,U276,human,2009,1,1,0.013
20,U277,human,2009,1,5,0.04
21,U288,human,2009,2,12,-0.006
22,U313,human,2008,1,7,0.028
23,U319,human,2008,1,7,0.035
24,U320,NA,NA,NA,NA,-0.014
25,ND,NA,1997,2,12,-0.008
26,rough,pig,2005,2,12,-0.008
27,DT193,dog,2009,2,17,-0.01
28,DT101,NA,NA,2,10,-0.003
29,DT102,NA,NA,2,11,-0.011
30,DT1,bird,2009,2,10,-0.002
31,DT10,cattle,1995,1,1,-0.003
32,DT10,cattle ,1995,1,1,-0.001
33,DT101,horse,2009,2,10,-0.003
34,U323,NA,NA,2,17,-0.009
35,DT108,pig,2001,2,11,-0.007
36,DT110,environment,1996,2,16,-0.007
37,DT103,pig,1995,2,14,-0.007
38,DT103,pig,1995,2,14,-0.007
39,DT104A,pig,1999,2,11,-0.009
40,DT104B,cattle,2005,2,15,0.001
41,DT104C,cattle,1995,2,15,0.001
42,U323,pig,1995,2,12,-0.01
43,DT106,pig,1997,2,12,-0.008
44,DT108,cattle,1996,2,11,-0.013
45,DT110,cattle ,1998,2,8,0.001
46,DT141,cattle,1995,1,5,0.033
47,DT141,chicken,1998,1,5,0.036
48,DT111,NA,NA,NA,NA,-0.007
49,DT111,horse,2008,NA,NA,-0.008
50,DT12,pig,2002,2,15,0.003
51,DT120,pig,1998,2,11,-0.01
52,DT121,bird,2001,1,6,0.05
53,DT126,sheep,1997,1,4,0.036
54,DT126,dog,1998,2,14,-0.007
55,DT135,cattle,2007,2,19,-0.011
56,DT160,bird,1997,1,6,0.037
57,DT179,environment,1997,2,8,0
58,DT193,pig,1996,2,12,-0.009
59,DT160,horse,1998,1,5,0.036
60,DT167,pig,1997,2,13,-0.004
61,DT167,environment,1997,2,11,-0.01
62,DT170,cattle,1995,2,11,-0.013
63,DT170,cattle,1995,2,11,-0.005
64,DT170B,pig,2003,2,11,-0.009
65,DT170B,pig,2007,2,11,-0.01
66,DT179,pig,1996,2,8,0.001
67,DT204,cattle,1996,1,1,-0.001
68,DT35,chicken,2008,2,9,0
69,DT36,bird,1998,2,16,-0.002
70,DT204,dog,1998,2,11,-0.011
71,DT208,pig,2002,2,11,-0.011
72,DT208,pig,2008,2,11,-0.01
73,DT2A,feed,2004,1,1,0.036
74,DT2A,pigeon,2006,1,1,0.036
75,DT30,duck,2004,1,2,0.005
76,DT30,duck ,2009,1,2,0.008
77,DT35,pig,1998,2,11,-0.011
78,U311,NA,NA,2,17,-0.006
79,DT104b,NA,NA,2,15,0.003
80,DT41b,NA,NA,1,4,0.04
81,DT36,chicken,2005,1,2,-0.006
82,DT7,chicken,2006,2,17,-0.009
83,DT8,duck,1998,1,1,-0.01
84,DT40,horse,2004,1,5,0.032
85,DT40,horse,2007,1,5,0.035
86,DT41,cattle,2002,1,4,0.036
87,DT49,chicken,1997,1,1,0.001
88,DT49,cattle,2002,1,1,0.005
89,DT56,bird,1997,1,5,0.028
90,DT56VAR,bird,2003,1,5,0.027
91,DT56VAR,dog,2008,1,5,0.033
92,DT85,turkey,1997,1,1,0.003
93,U310,NA,NA,1,1,0.014
94,DT85,feed,2000,1,1,0.004
95,DT9,duck ,1996,1,2,0.001
96,DT9,duck,2001,1,2,0.004
97,U288,pig,2005,2,12,-0.005
98,U302,pig,2008,2,15,0.002
99,U308,pig,2002,2,12,-0.008
100,U308,pig,2007,2,12,-0.03
101,U310,pig,2003,2,14,-0.007
102,193,pig,1993,2,8,-0.002
103,193,cattle,1993,2,8,0.002
104,193,cattle,1995,2,8,-0.002
105,193,pig,1995,2,8,0
106,193,cattle,1996,2,8,-0.002
107,193,pig,1997,2,8,-0.001
108,120,cat,2008,2,12,-0.006
109,ND,pig,1999,2,11,-0.009
110,ND,pig ,2000,2,11,-0.008
111,ND,pig,2001,2,11,-0.009
112,ND,pig,2002,2,11,-0.005
113,ND,chicken,2008,2,15,0
114,ND,other,2010,2,15,0
115,ND,pig,2007,2,11,-0.011
116,ND,pig,2004,2,8,0.001
117,ND,pig,1999,2,15,0.004
118,DT193,pig,2006,2,17,-0.01
119,DT193,pig,2008,2,17,-0.008
120,DT193,pig,2009,2,17,-0.009
121,DT2,pigeon,NA,NA,NA,0.034
122,DT2,pigeon,NA,NA,NA,0.027
123,ST313,human,2001,NA,NA,0.008
124,ST313,human,2004,NA,NA,0.014
125,DT104,NA,NA,NA,NA,-0.002
126,DT2,pigeon,NA,NA,NA,0.036
127,DT8,duck,NA,NA,NA,0.007
128,U288,pig,2005,NA,NA,-0.004
129,monophasic,cattle,2009,NA,NA,-0.009
130,monophasic,pig,2010,NA,NA,-0.01
131,SL1344,cattle,1974,NA,NA,0
132,DT8,duck,NA,NA,NA,0.008
133,DT8,duck,NA,NA,NA,0.005
134,DT56,bird,2003,NA,NA,0.027
